signal,data_class,label,train_dsr,wf_dsr,cohort_wf_dd,true_account_dd,n_train,n_wf,win_rate,expectancy,profit_factor,avg_hold_days,wf_cagr,excess_spy,excess_qqq,theme_bet,theme_share,d3_allowed,d3_gated_n,d3_gated_mean_ret,d3_wf_occurrences,data_flags,source_report,git_sha
insider_cluster,FMP,SMALL_N,,0.01676882808316841,0.5030565295209862,0.465557720213422,0,14,0.35714285714285715,0.02172912523227761,1.3726843617315612,73.92857142857143,-0.2385934822364678,-0.39245242730256547,-0.4554353933491694,True,0.565,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
short_squeeze_bearish,SI,NO_EDGE,,0.044337166522863646,0.306577731809358,0.29033726122840364,0,8292,0.5090448625180898,0.0025312864786536326,1.0514612135983867,25.58357452966715,0.010716138501803973,-0.14314280656429368,-0.2061257726108976,True,0.421,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
squeeze_candidate,SI,NO_EDGE,,9.770878257517072e-05,0.6776513961618235,0.6541196245096887,0,2286,0.5043744531933508,-0.006702430928772715,0.8863594924878105,25.483377077865267,-0.19130484692811822,-0.3451637919942159,-0.4081467580408198,True,0.445,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
residual_momentum,RESEARCH:EQUITY,INSUFFICIENT_REGIME_INSTANCES,0.0468102551139352,0.11026877666475338,0.3963163669824012,0.4538837300415154,8660,6390,0.5111111111111111,0.008162467389133806,1.157883864190403,26.433489827856025,0.07157542186709498,-0.08228352319900267,-0.1452664892456066,True,0.424,"[0, 1]",3982,0.004110008475484365,2,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
high_52w_proximity,RESEARCH:EQUITY,NO_EDGE,1.4081056663857113e-05,0.00021779486963962482,0.7434404430976644,0.7942038212145612,8732,6378,0.5186578864847915,-0.005566679397024567,0.8966280100418971,26.43524615867043,-0.1633871687913241,-0.31724611385742174,-0.38022907990402566,True,0.493,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
time_series_momentum,RESEARCH:EQUITY,INSUFFICIENT_REGIME_INSTANCES,0.00890006024699352,0.018390673724812852,0.5949864431636772,0.5792506498765532,9034,6567,0.5149992386173291,0.002697601102560581,1.054591224435336,26.421044617024517,0.013003150902059613,-0.14085579416403804,-0.20383876021064196,False,0.358,[1],854,0.007720881317944773,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
short_term_reversal,RESEARCH:EQUITY,NO_EDGE,0.07554116077991967,0.00014901035129738632,0.6720066102737751,0.36465924102184155,8858,6501,0.49546223657898786,-0.00561290259084005,0.9022789697368239,26.43547146592832,-0.018859469278640018,-0.17271841434473767,-0.2357013803913416,True,0.542,"[0, 1]",4036,-0.0025723910725869155,2,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
long_term_reversal,RESEARCH:EQUITY,REGIME_SUSPECT,0.00027169145444911306,0.08505398710199297,0.3007942296862076,0.36763205629889906,6832,6085,0.5032046014790469,0.005307794114342228,1.1066353529388453,26.433360723089564,0.0989892411199984,-0.054869703946099246,-0.11785266999270316,False,0.371,[2],1486,0.010709570500765339,3,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
idiosyncratic_vol,RESEARCH:EQUITY,NO_EDGE,5.355842558425955e-07,3.270582751089991e-09,0.9889885545683297,0.9603800562465961,9142,6590,0.511836115326252,-0.025568095634847587,0.6479589820177065,26.423368740515933,-0.35225870846930796,-0.5061176535354056,-0.5691006195820095,True,0.76,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
max_lottery_avoid,RESEARCH:EQUITY,NO_EDGE,2.27909491178612e-05,1.1046107900603567e-07,0.9455261387449658,0.8832237070792723,8858,6498,0.5021545090797168,-0.016700620180976563,0.7219108676961086,26.435364727608494,-0.2407891870754909,-0.39464813214158856,-0.4576310981881925,True,0.735,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
