signal,data_class,label,train_dsr,wf_dsr,cohort_wf_dd,true_account_dd,n_train,n_wf,win_rate,expectancy,profit_factor,avg_hold_days,wf_cagr,excess_spy,excess_qqq,theme_bet,theme_share,d3_allowed,d3_gated_n,d3_gated_mean_ret,d3_wf_occurrences,data_flags,source_report,git_sha
squeeze_candidate,SI,NO_EDGE,6.621766600084011e-07,0.016222353238809863,0.1739060322571712,0.14850739022232606,1299,341,0.533724340175953,0.010684620974143069,1.192641612077555,25.266862170087975,0.13604727437400221,-0.05851765129688746,-0.16086352007815652,True,0.419,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
residual_momentum,RESEARCH:EQUITY,NO_EDGE,0.03047587339971846,0.09555200612440568,0.10348583670397593,0.14237772136119986,2005,1165,0.5064377682403434,0.012825062394664964,1.2335412730211717,25.320171673819743,0.014779059676633732,-0.17978586599425594,-0.282131734775525,False,0.291,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
high_52w_proximity,RESEARCH:EQUITY,NO_EDGE,1.2970741770857124e-05,0.0007874366668805709,0.21911934659900778,0.24112314797870382,2008,1162,0.49827882960413084,-0.007816645048485718,0.8657782267677092,25.322719449225474,-0.1355824028497853,-0.33014732852067497,-0.432493197301944,False,0.389,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
time_series_momentum,RESEARCH:EQUITY,NO_EDGE,0.0007642392310572774,0.05033494412453124,0.1327204617822295,0.181776361173425,2106,1177,0.5123194562446899,0.010495397892182448,1.2147332197789855,25.324553950722176,0.017068268733224867,-0.1774966569376648,-0.27984252571893387,False,0.358,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
short_term_reversal,RESEARCH:EQUITY,NO_EDGE,0.07286648877391276,0.0004851290802849131,0.267020603948122,0.22025559237511383,2998,1177,0.47323704333050126,-0.007240737639825331,0.8877192730184669,25.322005097706032,-0.006742212948570692,-0.20130713861946037,-0.3036530074007294,False,0.295,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
long_term_reversal,RESEARCH:EQUITY,NO_EDGE,0.17389722744955322,0.015842739676124935,0.10729432243408253,0.09550507220807536,190,1134,0.5061728395061729,0.003920861905829582,1.0712978042045975,25.329805996472665,0.07034485363707876,-0.12422007203381091,-0.22656594081507997,False,0.274,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
idiosyncratic_vol,RESEARCH:EQUITY,NO_EDGE,9.710806987593005e-06,6.656986289783754e-06,0.7454095270108732,0.4857916340123464,2388,1179,0.4724342663273961,-0.04234452702134045,0.5057340275934659,25.321458863443596,-0.3270969233073122,-0.5216618489782019,-0.624007717759471,True,0.605,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
max_lottery_avoid,RESEARCH:EQUITY,NO_EDGE,0.0118577489436388,1.5392750235733063e-05,0.6517754409687739,0.42357537324383865,2993,1174,0.45826235093696766,-0.03200957734909991,0.5634229116258996,25.32793867120954,-0.29938707947037213,-0.4939520051412618,-0.5962978739225309,True,0.55,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
vol_contraction_breakout,RESEARCH:EQUITY,NO_EDGE,4.227406486421593e-05,7.727297010687884e-06,0.3748925482598935,0.21159941031479046,3028,1189,0.47098402018502944,-0.014529885635959522,0.7531301172945756,25.322119428090833,-0.13202573724059652,-0.3265906629114862,-0.42893653169275525,False,0.287,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
betting_against_beta,RESEARCH:EQUITY,NO_EDGE,1.4032711351599055e-07,4.018791282838624e-05,0.7025091939064617,0.4250402265683808,2105,1177,0.48598130841121495,-0.03366299393021736,0.5811713455465258,25.320305862361938,-0.25448975016831177,-0.44905467583920144,-0.5514005446204705,True,0.56,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
volume_confirmed_momentum,RESEARCH:EQUITY,NO_EDGE,0.15635130490458504,0.0083043473057513,0.3209625036219234,0.2164967686946947,2538,1179,0.48770144189991516,0.003774575592696506,1.0616907602586598,25.324003392705684,-0.04041917430658071,-0.23498409997747038,-0.33732996875873944,False,0.283,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
revenue_surprise_drift,RESEARCH:FMP_EARNINGS,NO_EDGE,0.00032129205349924603,0.0005399134451005789,0.22847545835650226,0.1959552431331707,2073,785,0.4840764331210191,-0.010609310193896672,0.8253888839683746,25.343949044585987,-0.02776790102868909,-0.22233282669957877,-0.3246786954808478,True,0.448,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
earnings_announcement_premium,RESEARCH:FMP_EARNINGS,INSUFFICIENT_REGIME_INSTANCES,0.22214967851029344,0.5595801799610834,0.14369073494234502,0.1240820324580002,2347,835,0.5065868263473053,0.03040271043464738,1.595242612992758,25.226347305389222,0.326895030533104,0.1323301048622143,0.029984236080945248,False,0.28,[3],619,0.03567939077248053,1,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
accruals,RESEARCH:FMP_STATEMENT,DATA_GATED,,,,,0,0,,,,,,,,False,0.0,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
piotroski_fscore,RESEARCH:FMP_STATEMENT,DATA_GATED,,,,,0,0,,,,,,,,False,0.0,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
net_payout_yield,RESEARCH:FMP_STATEMENT,DATA_GATED,,,,,0,0,,,,,,,,False,0.0,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
net_operating_assets,RESEARCH:FMP_STATEMENT,DATA_GATED,,,,,0,0,,,,,,,,False,0.0,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
distress_risk_avoid,RESEARCH:FMP_STATEMENT,DATA_GATED,,,,,0,0,,,,,,,,False,0.0,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
rv_minus_iv,RESEARCH:OPTIONS,NO_EDGE,0.5695849965316733,0.0003979507381186119,0.6263805673208177,0.4486799585040856,362,86,0.5813953488372093,0.00455343476832089,1.1095359160350238,30.790697674418606,-0.383124518951081,-0.5776894446219707,-0.6800353134032397,True,0.472,[3],48,-0.025928395300499046,1,CACHE_LIMITED|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
